Metric,Value
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,25
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,25
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,25
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,25
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19936
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19986
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000638979
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000610187
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000125632
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000610187
design_powergrid__voltage__worst,0.000610187
design_powergrid__voltage__worst__net:VPWR,1.19936
design_powergrid__drop__worst,0.000638979
design_powergrid__drop__worst__net:VPWR,0.000638979
design_powergrid__voltage__worst__net:VGND,0.000610187
design_powergrid__drop__worst__net:VGND,0.000610187
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0001359999999999999989279408918463332156534306704998016357421875
ir__drop__worst,0.00063900000000000002804700915959301710245199501514434814453125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
